name,mz,rt,SMILES
DEET,192.1383,355.8,CCN(CC)C(=O)c1cccc(c1)C
Diglyme,135.1016,252,COCCOCCOC
Dimethametryn,256.159,372.6,CCNc1nc(nc(n1)SC)N[C@@H](C)C(C)C
Irgarol,254.1434,370.8,CC(C)(C)Nc1nc(nc(n1)SC)NC2CC2
Prometryne,242.1434,364.8,CC(C)NC1=NC(=NC(=N1)SC)NC(C)C
Trimethoprim,291.1452,264,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N
1H-benzotriazole,120.0556,268.2,c1ccc2c(c1)[nH]nn2
"2,6-Dichlorobenzamide",189.9821,280.2,c1cc(c(c(c1)Cl)C(=O)N)Cl
2-Hydroxyquinoline,146.06,309,c1ccc2c(c1)ccc(n2)O
Aldicarb,213.0668,316.8,CC(C)(C=NOC(=O)NC)SC
Ametryn,228.1277,354,CCNC1=NC(=NC(=N1)SC)NC(C)C
Amicarbazone,242.1612,329.4,CC(C)c1nn(c(=O)n1N)C(=O)NC(C)(C)C
Antipyrine,189.1022,316.8,Cc1cc(=O)n(n1C)c2ccccc2
Atenolol,267.1703,214.2,CC(C)NCC(COc1ccc(cc1)CC(=O)N)O
Atrazine,216.101,336.6,CCNc1nc(nc(n1)Cl)NC(C)C
Azinophos-ethyl,346.0443,399.6,CCOP(=S)(OCC)SCn1c(=O)c2ccccc2nn1
Bezafibrate,362.1154,352.8,CC(C)(C(=O)O)Oc1ccc(cc1)CCNC(=O)c2ccc(cc2)Cl
Caffeine,195.0877,297.6,Cn1cnc2c1c(=O)n(c(=O)n2C)C
Carbamazepine,237.1022,349.2,c1ccc2c(c1)C=Cc3ccccc3N2C(=N)O
Chlorbromuron,292.9687,353.4,CN(C(=O)Nc1ccc(c(c1)Cl)Br)OC
Chloridazon,222.0429,303,c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl
Chloroxuron,291.0895,366,CN(C)C(=O)Nc1ccc(cc1)Oc2ccc(cc2)Cl
Climbazole,293.1051,360.6,CC(C)(C)C(=O)C(n1ccnc1)Oc2ccc(cc2)Cl
Clindamycin,425.1871,319.2,CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@H](C)Cl
Clomazone,240.0786,366,CC1(CON(C1=O)Cc2ccccc2Cl)C
Cumafos,363.0217,413.4,CCOP(=S)(OCC)Oc1ccc2c(c(c(=O)oc2c1)Cl)C
Cyanazine,241.0963,321.6,CCNc1nc(nc(n1)Cl)NC(C)(C)C#N
Cycloxydim,326.1784,409.8,CCCC(=C1C(=O)CC(CC1=O)C2CCCSC2)NOCC
Desmedipham,301.1183,349.8,CCOC(=O)Nc1cccc(c1)OC(=O)Nc2ccccc2
